SampleID,Rep,DateStart,RichLevel,Inhibitory,qPCR_bact_log10,CV_log10,Richness,inhibRich,inhibRichFrac,inhibProp,inhibReads,shannon,qPCR_bact_log10_inhib,Inhib,inhibProp_raw,inhibRichFrac_raw,Bd_micro_log10,Bd_qPCR_log10,Centre_qPCR_bact_log10,Centre_CV_log10,Centre_Richness,Centre_inhibRich,Centre_inhibRichFrac,Centre_inhibProp,Centre_inhibReads,Centre_shannon,Centre_qPCR_bact_log10_inhib
Non_2020-09-14_3_Rep5,Rep5,2020-09-14,3,0,-0.6891837557,-0.524325242,-0.2972972973,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.184533723,-0.08500091972,0,0,0,1.902307861,3.698033483,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-14_10_Rep5,Rep5,2020-09-14,10,0,0.9692394741,-0.8074500153,2.702702703,0.3108108108,-0.05405405405,0.4334828623,0.4377933124,0.3609608676,0.1459829574,1,0.706639678,0.2,0.55313339,2.810778742,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-09-14_0_Rep6,Rep6,2020-09-14,0,0,-2.048436963,-0.5939063626,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,2.390075305,3.861884199,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-14_1_Rep6,Rep6,2020-09-14,1,1,-2.248761157,-0.5807890892,0.7027027027,1.310810811,0.4126126126,0.7268431843,0.5328229182,0.596827982,0.1695773477,1,1,0.6666666667,0,1.282882963,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-14_3_Rep6,Rep6,2020-09-14,3,1,0.3836597676,0.2127588696,-0.2972972973,1.310810811,0.7459459459,0.7268431843,0.7075927218,0.136060417,0.2098828061,1,1,1,0,1.987480717,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-14_10_Rep6,Rep6,2020-09-14,10,1,1.07675052,0.460864551,3.702702703,3.310810811,0.4126126126,0.2347086651,0.2325844659,0.4397171918,0.09018794372,1,0.5078654808,0.6666666667,0,1.426126466,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-14_1_Rep6,Rep6,2020-09-14,1,0,0.6379409011,-0.612036069,-1.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,0,3.064517259,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-14_10_Rep6,Rep6,2020-09-14,10,0,0.9742132088,0.253090005,2.702702703,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.6757364125,-0.08500091972,0,0,0,0,1.920758983,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-09-19_0_Rep7,Rep7,2020-09-19,0,0,-1.878811791,-0.5939063626,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,2.347244649,3.259059728,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-19_3_Rep7,Rep7,2020-09-19,3,1,0.906026765,0.2618407775,-0.2972972973,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,0.1916496062,-0.08500091972,0,0,0,0,1.900314104,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-19_10_Rep7,Rep7,2020-09-19,10,1,1.33183337,0.8770803014,1.702702703,1.310810811,0.2459459459,0.7268431843,0.7266369398,0.4195372121,0.2140570224,1,1,0.5,0,1.486502068,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-19_1_Rep7,Rep7,2020-09-19,1,0,0.6805443544,-0.5638938184,-0.2972972973,0.3108108108,0.2459459459,-0.2731568157,-0.2643020059,-0.3300390425,-0.08500091972,1,0,0.5,0,1.865383961,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-19_3_Rep7,Rep7,2020-09-19,3,0,1.293258705,-0.2502746955,0.7027027027,0.3108108108,0.07927927928,-0.2731568157,-0.2643020059,-0.4140982753,-0.08500091972,1,0,0.3333333333,0,1.559965001,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Non_2020-09-19_10_Rep7,Rep7,2020-09-19,10,0,-0.2305253557,-1.107271959,4.702702703,-0.6891891892,-0.2540540541,-0.20548482,-0.1979950257,0.989313392,-0.05711866756,0,0.06767199575,0,0,2.963113236,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Con_2020-09-19_0_Rep8,Rep8,2020-09-19,0,0,-1.895082415,-0.6932275833,-2.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,2.658214214,4.214048383,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-19_1_Rep8,Rep8,2020-09-19,1,1,0.7456363547,0.8833381836,-1.297297297,-0.6891891892,-0.2540540541,-0.2731568157,-0.2643020059,-0.4945882851,-0.08500091972,0,0,0,0,0.7748815123,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
Inhib_2020-09-19_3_Rep8,Rep8,2020-09-19,3,1,1.143024452,0.7234948674,0.7027027027,1.310810811,0.4126126126,0.4378332516,0.4450024878,0.2525348555,0.1478185147,1,0.7109900673,0.6666666667,0,1.99645534,4.471113987,-0.8927280412,2.297297297,0.6891891892,0.2540540541,0.2731568157,0.2643020059,0.4945882851,0.08500091972
